sekolah_id;sarpras_id;nama;jumlah_saat_ini;jumlah_deal;kondisi_baik;kondisi_rusak_ringan;kondisi_rusak_sedang;kondisi_rusak_berat;keterangan;created_at;updated_at
bbe867ca-cd4d-487d-8271-2e7874d7da2f;8a764001-4634-43fb-8b74-d538021a4126;Printer LABORATORIUM KOMPUTER 03;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;efbd28ec-55a0-4109-a801-9484453be9e7;Tempat Sampah LABORATORIUM KOMPUTER 03;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;eb2881d8-ab75-4280-9165-35644fa2a974;Jam Dinding LABORATORIUM KOMPUTER 03;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;766fd323-0093-4d00-9d97-b6db7030de99;Hub/Switch hub LABORATORIUM KOMPUTER 03;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;7eb80624-d46e-48b0-bdb5-47ecdc4a6074;Komputer server LABORATORIUM KOMPUTER 03;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;14b4fde2-4e11-4e4d-a1ab-890b0c8db875;Scanner LABORATORIUM KOMPUTER 03;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;6ac3558c-dddc-43f9-b48c-8b74d6b1ecaa;Stabilizer LABORATORIUM KOMPUTER 03;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;793cf0a4-7f95-4a68-9321-bbbf90b6f374;Akses Internet LABORATORIUM KOMPUTER 03;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;af2480dd-1ed0-43b7-a164-2305f5d03638;Lan Server LABORATORIUM KOMPUTER 03;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;97d7dc6e-a575-462a-bb1f-e1e8818e805c;Laptop LABORATORIUM KOMPUTER 03;20;20;20;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;dc13df7c-35d7-4f0c-92a8-dacd93cb554b;Soket Listrik LABORATORIUM KOMPUTER 03;10;10;10;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;30f70872-a577-4f16-b01a-b8e0403579fc;Soket Listrik/Kotak Kontak LABORATORIUM KOMPUTER 03;2;2;2;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;5f67207f-91d7-406a-8b6a-41ae7e65be02;Meja Siswa Lab Komputer;20;20;20;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;633083c1-2da9-420f-b107-aa87d3a6a7b4;Kursi Siswa Lab Komputer;20;20;20;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;ece709d5-6122-45a9-99e7-8b2f27ef9d96;Meja Guru Lab Komputer;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;9be542af-0618-43b8-9a47-e2dffe3fcf8f;Kursi Guru Lab Komputer;5;5;5;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;8e61132d-d946-4333-ba01-32c4741ecc07;Papan Tulis Lab Komputer;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;a6980300-835d-45d1-994b-105149a971f9;Lemari Lab Komputer;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;652fa406-7d09-4deb-a458-2740f4b2e0c5;Komputer Lab Komputer;20;20;20;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;652fa406-7d09-4deb-a458-2740f4b2e0c5;Komputer Lab Komputer;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;8a764001-4634-43fb-8b74-d538021a4126;Printer Lab Komputer;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;efbd28ec-55a0-4109-a801-9484453be9e7;Tempat Sampah Lab Komputer;1;1;0;0;0;1;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;eb2881d8-ab75-4280-9165-35644fa2a974;Jam Dinding Lab Komputer;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;766fd323-0093-4d00-9d97-b6db7030de99;Hub/Switch hub Lab Komputer;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;7eb80624-d46e-48b0-bdb5-47ecdc4a6074;Komputer server Lab Komputer;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;14b4fde2-4e11-4e4d-a1ab-890b0c8db875;Scanner Lab Komputer;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;6ac3558c-dddc-43f9-b48c-8b74d6b1ecaa;Stabilizer Lab Komputer;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;793cf0a4-7f95-4a68-9321-bbbf90b6f374;Akses Internet Lab Komputer;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;af2480dd-1ed0-43b7-a164-2305f5d03638;Lan Server Lab Komputer;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;6a2e95cf-f713-4314-94a0-2b386d3c5d36;Papan Pajang Lab Komputer;1;1;1;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;dc13df7c-35d7-4f0c-92a8-dacd93cb554b;Soket Listrik Lab Komputer;4;4;4;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;30f70872-a577-4f16-b01a-b8e0403579fc;Soket Listrik/Kotak Kontak Lab Komputer;2;2;2;0;0;0;;;
bbe867ca-cd4d-487d-8271-2e7874d7da2f;5f67207f-91d7-406a-8b6a-41ae7e65be02;Meja Siswa X MIPA;20;20;20;0;0;0;;;
